epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,427.663,0.48715,0.8278,0.44688,0.94732,0.92396,0.94124,0.96706,0.85988,0.93651,0.87152,0.93181,0.81696,0.44203,1.43593,0.48564,0.93404,0.00275668,0.00275668,0.00275668
100,433.199,0.5215,0.88363,0.46668,0.97006,0.91494,0.95686,0.96519,0.86499,0.88486,0.91342,0.92744,0.8139,0.43371,1.44421,0.49652,0.94177,0.00266532,0.00266532,0.00266532
101,437.081,0.49386,0.8517,0.45035,0.96999,0.91685,0.94934,0.96357,0.85681,0.88425,0.91709,0.92807,0.80237,0.43493,1.42428,0.48278,0.93892,0.002575,0.002575,0.002575
102,440.981,0.47215,0.75791,0.43664,0.93988,0.95374,0.94204,0.97383,0.86345,0.88603,0.91068,0.93423,0.81103,0.42547,1.40736,0.48192,0.92526,0.00248577,0.00248577,0.00248577
103,445.9,0.49205,0.83771,0.43035,0.9368,0.94437,0.93665,0.96823,0.85692,0.91177,0.89145,0.92867,0.80678,0.41657,1.4054,0.47536,0.92323,0.00239766,0.00239766,0.00239766
104,449.742,0.4638,0.89018,0.42859,0.93901,0.94402,0.93817,0.96367,0.85781,0.94094,0.8794,0.92601,0.79778,0.43372,1.43255,0.49876,0.93274,0.00231071,0.00231071,0.00231071
105,454.445,0.45903,0.86646,0.41356,0.91135,0.92037,0.93511,0.95474,0.85029,0.93444,0.87221,0.92054,0.78873,0.47085,1.47854,0.5554,0.94424,0.00222497,0.00222497,0.00222497
106,459.274,0.49035,0.93797,0.44155,0.94194,0.92992,0.93817,0.96073,0.85776,0.88878,0.90275,0.92672,0.80166,0.45973,1.4888,0.57678,0.93753,0.00214046,0.00214046,0.00214046
107,463.052,0.49165,0.91664,0.43316,0.96461,0.93412,0.93083,0.96466,0.85777,0.90502,0.88539,0.9267,0.81119,0.42638,1.40713,0.55449,0.92636,0.00205723,0.00205723,0.00205723
108,466.876,0.44927,0.8109,0.42056,0.92882,0.91083,0.92312,0.97044,0.86909,0.86645,0.89595,0.92974,0.8093,0.41417,1.33173,0.55073,0.91296,0.00197532,0.00197532,0.00197532
109,471.653,0.43038,0.81652,0.40037,0.92646,0.90808,0.92182,0.96582,0.86575,0.87328,0.90327,0.93265,0.80549,0.41905,1.35331,0.56426,0.91471,0.00189475,0.00189475,0.00189475
110,475.479,0.46279,0.89803,0.42468,0.94253,0.92432,0.92931,0.96718,0.87348,0.88286,0.90829,0.93705,0.81176,0.43126,1.38251,0.53812,0.92075,0.00181557,0.00181557,0.00181557
111,479.174,0.45978,0.8297,0.40296,0.93032,0.94033,0.92925,0.96863,0.87808,0.92095,0.88909,0.93817,0.82633,0.4325,1.37846,0.52966,0.92154,0.0017378,0.0017378,0.0017378
112,483.873,0.45155,0.77235,0.40829,0.92283,0.93387,0.9409,0.96713,0.86037,0.90433,0.91068,0.93154,0.80945,0.44837,1.32248,0.50235,0.92501,0.00166149,0.00166149,0.00166149
113,487.886,0.45024,0.82322,0.41121,0.92016,0.92907,0.93295,0.96358,0.85805,0.9046,0.90427,0.92795,0.8056,0.44592,1.32824,0.51455,0.92604,0.00158667,0.00158667,0.00158667
